FlightNumber,Date,BoosterVersion,PayloadMass,Payload,Orbit,LaunchSite,LandingOutcome,Flights,GridFins,Reused,Legs,LandingPad,Block,Customers,Mission_Outcome,ReusedCount,Serial,Longitude,Latitude
1,2010-06-04,Falcon 9,8191.079109589042,Dragon Qualification Unit,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,SpaceX,True,0,B0003,-80.577366,28.5618571
2,2012-05-22,Falcon 9,525.0,COTS Demo Flight 2,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,NASA(COTS),True,0,B0005,-80.577366,28.5618571
3,2013-03-01,Falcon 9,677.0,CRS-2,ISS,CCSFS SLC 40,None None,1,False,False,False,,1.0,NASA (CRS),True,0,B0007,-80.577366,28.5618571
4,2013-09-29,Falcon 9,500.0,CASSIOPE,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1.0,MDA,True,0,B1003,-120.610829,34.632093
5,2013-12-03,Falcon 9,3170.0,SES-8,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,SES,True,0,B1004,-80.577366,28.5618571
6,2014-01-06,Falcon 9,3325.0,Thaicom 6,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,Thaicom,True,0,B1005,-80.577366,28.5618571
7,2014-04-18,Falcon 9,2296.0,CRS-3,ISS,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,NASA (CRS),True,0,B1006,-80.577366,28.5618571
8,2014-07-14,Falcon 9,1316.0,Orbcomm-OG2-M1,LEO,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,Orbcomm,True,0,B1007,-80.577366,28.5618571
9,2014-08-05,Falcon 9,4535.0,AsiaSat 8,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,AsiaSat,True,0,B1008,-80.577366,28.5618571
10,2014-09-07,Falcon 9,4428.0,AsiaSat 6,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,AsiaSat,True,0,B1011,-80.577366,28.5618571
11,2014-09-21,Falcon 9,2216.0,CRS-4,ISS,CCSFS SLC 40,False Ocean,1,False,False,False,,1.0,NASA (CRS),True,0,B1010,-80.577366,28.5618571
12,2015-01-10,Falcon 9,2395.0,CRS-5,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,NASA (CRS),True,0,B1012,-80.577366,28.5618571
13,2015-02-11,Falcon 9,570.0,DSCOVR,ES-L1,CCSFS SLC 40,True Ocean,1,True,False,True,,1.0,"NASA,NOAA,USAF",True,0,B1013,-80.577366,28.5618571
14,2015-04-14,Falcon 9,1898.0,CRS-6,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,NASA (CRS),True,0,B1015,-80.577366,28.5618571
15,2015-04-27,Falcon 9,4707.0,TürkmenÄlem 52°E / MonacoSAT,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,Turkmenistan National Space Agency,True,0,B1016,-80.577366,28.5618571
16,2015-06-28,Falcon 9,2477.0,CRS-7,ISS,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,NASA (CRS),False,0,B1018,-80.577366,28.5618571
17,2015-12-22,Falcon 9,2034.0,Orbcomm-OG2-M2,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,Orbcomm,True,0,B1019,-80.577366,28.5618571
18,2016-01-17,Falcon 9,553.0,Jason-3,PO,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,"NASA,NOAA",True,0,B1017,-120.610829,34.632093
19,2016-03-04,Falcon 9,5271.0,SES-9,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,SES,True,0,B1020,-80.577366,28.5618571
20,2016-04-08,Falcon 9,3136.0,CRS-8,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,NASA (CRS),True,1,B1021,-80.577366,28.5618571
21,2016-05-06,Falcon 9,4696.0,JCSAT-2B,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,SKY Perfect JSAT Group,True,0,B1022,-80.577366,28.5618571
22,2016-05-27,Falcon 9,3100.0,Thaicom 8,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,Thaicom,True,1,B1023,-80.577366,28.5618571
23,2016-07-18,Falcon 9,2257.0,CRS-9,ISS,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,NASA (CRS),True,1,B1025,-80.577366,28.5618571
24,2016-08-14,Falcon 9,4600.0,JCSAT-16,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,SKY Perfect JCSAT Group,True,0,B1026,-80.577366,28.5618571
25,2016-09-01,Falcon 9,5500.0,Amos-6,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,Spacecom,False,0,B1028,-80.577366,28.5618571
26,2017-01-14,Falcon 9,9600.0,Iridium NEXT 1,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,Iridium Communications,True,1,B1029,-120.610829,34.632093
27,2017-02-19,Falcon 9,2490.0,CRS-10,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,NASA (CRS),True,1,B1031,-80.6039558,28.6080585
28,2017-03-16,Falcon 9,5600.0,EchoStar 23,GTO,KSC LC 39A,None None,1,False,False,False,,3.0,EchoStar,True,0,B1030,-80.6039558,28.6080585
29,2017-03-30,Falcon 9,5300.0,SES-10,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,SES,True,1,B1021,-80.6039558,28.6080585
30,2017-05-01,Falcon 9,8191.079109589042,NROL-76,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,NRO,True,1,B1032,-80.6039558,28.6080585
31,2017-05-15,Falcon 9,6070.0,Inmarsat-5 F4,GTO,KSC LC 39A,None None,1,False,False,False,,3.0,Inmarsat,True,0,B1034,-80.6039558,28.6080585
32,2017-06-03,Falcon 9,2708.0,CRS-11,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,NASA (CRS),True,1,B1035,-80.6039558,28.6080585
33,2017-06-23,Falcon 9,3669.0,BulgariaSat-1,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,Bulgaria Sat,True,1,B1029,-80.6039558,28.6080585
34,2017-06-25,Falcon 9,9600.0,Iridium NEXT 2,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,Iridium Communications,True,1,B1036,-120.610829,34.632093
35,2017-07-05,Falcon 9,6761.0,Intelsat 35e,GTO,KSC LC 39A,None None,1,False,False,False,,3.0,Intelsat,True,0,B1037,-80.6039558,28.6080585
36,2017-08-14,Falcon 9,2910.0,CRS-12,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,NASA (CRS),True,1,B1039,-80.6039558,28.6080585
37,2017-08-24,Falcon 9,475.0,FormoSat-5,SSO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,NSPO (Taiwan),True,1,B1038,-120.610829,34.632093
38,2017-09-07,Falcon 9,4990.0,X-37B OTV-5,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,USAF,True,1,B1040,-80.6039558,28.6080585
39,2017-10-09,Falcon 9,9600.0,Iridium NEXT 3,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,Iridium Communications,True,1,B1041,-120.610829,34.632093
40,2017-10-11,Falcon 9,5200.0,SES-11 / Echostar 105,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,"SES,Echostar",True,1,B1031,-80.6039558,28.6080585
41,2017-10-30,Falcon 9,3700.0,KoreaSat 5A,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,KT Corporation,True,0,B1042,-80.6039558,28.6080585
42,2017-12-15,Falcon 9,2205.0,CRS-13,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,NASA (CRS),True,1,B1035,-80.577366,28.5618571
43,2017-12-23,Falcon 9,9600.0,Iridium NEXT 4,PO,VAFB SLC 4E,True Ocean,2,True,True,False,,3.0,Iridium Communications,True,1,B1036,-120.610829,34.632093
44,2018-01-08,Falcon 9,8191.079109589042,ZUMA,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,Northrop Grumman,True,1,B1043,-80.577366,28.5618571
45,2018-01-31,Falcon 9,4230.0,GovSat-1,GTO,CCSFS SLC 40,True Ocean,2,True,True,True,,3.0,GovSat,True,1,B1032,-80.577366,28.5618571
46,2018-03-06,Falcon 9,6092.0,Hispasat 30W-6,GTO,CCSFS SLC 40,None None,1,True,False,True,,4.0,Hispasat,True,0,B1044,-80.577366,28.5618571
47,2018-03-30,Falcon 9,9600.0,Iridium NEXT 5,PO,VAFB SLC 4E,None None,2,True,True,True,,4.0,Iridium Communications,True,1,B1041,-120.610829,34.632093
48,2018-04-02,Falcon 9,2760.0,CRS-14,ISS,CCSFS SLC 40,None None,2,True,True,True,,4.0,NASA (CRS),True,1,B1039,-80.577366,28.5618571
49,2018-04-18,Falcon 9,350.0,TESS,HEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,NASA,True,1,B1045,-80.577366,28.5618571
50,2018-05-11,Falcon 9,3750.0,Bangabandhu-1,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,Bangladesh Gov,True,3,B1046,-80.6039558,28.6080585
51,2018-06-04,Falcon 9,5383.85,SES-12,GTO,CCSFS SLC 40,None None,2,False,True,False,,4.0,SES,True,1,B1040,-80.577366,28.5618571
